,Country,Sector,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Philippines,"Agriculture, forestry, and fisheries",,,,0.7,0.7,0.7,0.7,0.6,0.6,0.9,0.9,0.9,0.9,1.0,1.0,0.9,0.9,0.9,0.8
1,Philippines,Manufacturing,,,,14.9,14.9,14.7,14.4,14.3,13.7,12.5,12.5,12.5,12.7,12.7,12.6,11.7,11.6,11.6,12.1
2,Philippines,Transportation and communication,,,,1.2,1.2,1.1,1.2,2.3,3.1,4.9,4.7,4.7,4.5,4.8,4.8,4.1,4.0,3.9,2.3
3,Philippines,Construction,,,,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4
4,Philippines,Wholesale and retail trade,,,,50.1,50.1,49.9,49.6,47.9,47.0,46.4,46.4,46.4,46.5,46.1,46.0,46.3,46.4,46.7,50.1
5,Philippines,Other services,,,,32.7,32.8,33.3,33.8,34.4,35.1,34.7,34.9,35.1,34.8,34.8,35.1,36.6,36.5,36.3,34.2
6,Philippines,Others*,,,,0.04,0.04,0.04,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
7,Malaysia,"Agriculture, forestry, and fisheries",6.2,,,,,,,1.2,,,,,1.1,,,,,1.7,
8,Malaysia,Manufacturing,7.2,,,,,,,6.0,,,,,5.3,,,,,5.1,
9,Malaysia,Construction,,,,,,,,3.3,,,,,4.3,,,,,7.4,
10,Malaysia,Services2,86.6,,,,,,,89.4,,,,,89.2,,,,,85.5,
11,Malaysia,Mining and quarrying,,,,,,,,0.1,,,,,0.1,,,,,0.3,
12,Vietnam,"Agriculture, forestry, and fisheries",,,,,1.6,1.1,1.0,0.9,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.1,1.1,,
13,Vietnam,Manufacturing,,,,,18.6,18.2,17.5,15.7,15.7,15.7,15.2,15.2,14.8,14.5,14.2,15.1,15.7,,
14,Vietnam,Transportation and communication,,,,,6.5,5.3,5.7,6.7,7.6,7.6,7.5,7.8,8.1,8.3,8.3,8.0,7.9,,
15,Vietnam,Construction,,,,,14.0,14.6,15.0,15.5,13.7,14.2,14.1,13.8,14.0,13.0,13.2,13.3,13.7,,
16,Vietnam,Wholesale and retail trade,,,,,41.5,42.3,41.4,40.9,40.3,39.5,40.3,40.0,39.7,40.0,39.8,39.0,37.5,,
17,Vietnam,Other services,,,,,16.1,16.7,17.8,18.9,20.4,20.7,20.6,21.0,21.4,22.2,22.4,22.3,22.8,,
18,Vietnam,Others,,,,,1.7,1.7,1.6,1.4,1.4,1.4,1.3,1.2,1.2,1.1,1.1,1.2,1.2,,
19,Thailand,"Agriculture, forestry, and fisheries",,,,,,0.2,,,,,,1.7,1.3,1.4,1.5,1.5,1.6,1.8,
20,Thailand,Manufacturing,,,,,28.2,19.3,18.9,18.7,17.8,18.7,17.4,18.0,18.2,17.3,17.3,17.1,17.1,17.0,
21,Thailand,Transportation and communication,,,,,,,,,,,,,,,,,,,
22,Thailand,Construction,,,,,,,,,,,,,,,,,,,
23,Thailand,Wholesale and retail trade,,,,,41.1,46.7,47.3,47.5,44.5,43.5,43.5,42.4,42.3,41.7,41.6,41.6,41.3,41.1,
24,Thailand,Other services,,,,,30.0,33.8,33.6,33.8,37.7,37.8,39.1,37.9,38.1,39.6,39.6,39.8,40.1,40.1,
25,Thailand,Others*,,,,,0.7,,,,,,,,,,,,,,
26,Sri Lanka,"Agriculture, forestry, and fisheries",,,,,,,,,,,,,,,,,,,
27,Sri Lanka,Manufacturing,,,,,,,,,,,23.6,,28.8,28.9,26.8,,,,
28,Sri Lanka,Transportation and communication,,,,,,,,,,,4.2,,4.0,4.8,5.3,,,,
29,Sri Lanka,Construction,,,,,,,,,,,0.8,,,,,,,,
30,Sri Lanka,Wholesale and retail trade,,,,,,,,,,,41.1,,29.8,29.1,29.9,,,,
31,Sri Lanka,Other services,,,,,,,,,,,29.2,,37.4,37.3,38.0,,,,
32,Sri Lanka,Others,,,,,,,,,,,1.2,,,,,,,,
33,Bangladesh,"Agriculture, forestry, and fisheries",,,,,,,,,,,,,,,,,,,
34,Bangladesh,Manufacturing,,,,,,,,,,,11.1,,,,,,,,
35,Bangladesh,Transportation and communication,,,,,,,,,,,16.9,,,,,,,,
36,Bangladesh,Construction,,,,,,,,,,,0.1,,,,,,,,
37,Bangladesh,Wholesale and retail trade,,,,,,,,,,,45.9,,,,,,,,
38,Bangladesh,Other services,,,,,,,,,,,25.7,,,,,,,,
39,Bangladesh,Others,,,,,,,,,,,0.3,,,,,,,,
40,Brunei,"Agriculture, forestry, and fisheries",,,,,,,,5.3,,,,,3.9,3.5,3.3,2.9,2.8,,
41,Brunei,Manufacturing,,,,,,,,12.6,,,,,10.7,11.1,11.1,10.8,10.7,,
42,Brunei,Transportation and communication,,,,,,,,4.6,,,,,4.8,4.5,4.4,5.5,5.5,,
43,Brunei,Construction,,,,,,,,12.0,,,,,14.5,12.7,12.4,10.1,9.9,,
44,Brunei,Wholesale and retail trade,,,,,,,,34.7,,,,,33.9,34.9,34.9,34.8,34.7,,
45,Brunei,Other services,,,,,,,,29.7,,,,,30.8,31.9,32.3,34.6,35.1,,
46,Brunei,Others,,,,,,,,1.0,,,,,1.4,1.5,1.6,1.3,1.3,,
47,Cambodia,"Agriculture, forestry, and fisheries",,,,,,,,,,,,,,,,,,,
48,Cambodia,Manufacturing,,,,,,,21.3,,16.0,,,15.2,,,,,,,
49,Cambodia,Transportation and communication,,,,,,,,,,,,,,,,,,,
50,Cambodia,Construction,,,,,,,,,,,,,,,,,,,
51,Cambodia,Wholesale and retail trade,,,,,,,39.1,,44.2,,,46.7,,,,,,,
52,Cambodia,Other services,,,,,,,39.6,,39.8,,,38.1,,,,,,,
53,Cambodia,Others,,,,,,,,,,,,,,,,,,,
54,Indonesia,"Agriculture, forestry, and fisheries",,,,,,,,50.0,49.6,48.8,,,,,,,,,
55,Indonesia,Manufacturing,,,,,,,,6.2,6.4,6.4,,,,16.7,,,,,
56,Indonesia,Transportation and communication,,,,,,,,6.5,6.5,6.9,,,,7.3,,,,,
57,Indonesia,Construction,,,,,,,,,,,,,,0.9,,,,,
58,Indonesia,Wholesale and retail trade***,,,,,,,,29.4,29.6,28.8,,,,63.5,,,,,
59,Indonesia,Other services,,,,,,,,6.3,6.4,6.9,,,,10.7,,,,,
60,Indonesia,Others,,,,,,,,1.6,1.6,2.1,,,,0.9,,,,,
61,Laos,"Agriculture, forestry, and fisheries",,,,,,,,,,,,,,,,,,,
62,Laos,Manufacturing,,,,3.4,,,,,,,1.7,,,,,4.9,,1.4,
63,Laos,Transportation and communication,,,,19.1,,,,,,,12.4,,,,,12.4,,14.7,
64,Laos,Construction,,,,3.7,,,,,,,3.1,,,,,3.1,,3.0,
65,Laos,Wholesale and retail trade,,,,0.5,,,,,,,0.5,,,,,0.5,,1.7,
66,Laos,Other services,,,,64.5,,,,,,,62.9,,,,,62.9,,61.2,
67,Laos,Others,,,,8.3,,,,,,,18.9,,,,,12.2,,3.2,
68,,,,,,0.5,,,,,,,0.4,,,,,3.9,,14.8,
